# MALHEUR (0.4.6) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009 Konrad Rieck (rieck@cs.tu-berlin.de)
# Berlin Institute of Technology (TU Berlin).
# ---
# Incremental analysis for 20090806_mist.tar.gz
# ---
# <report> <cluster> <prototype> <distance>
20090806/00363055d366dd3298d1d909273c96880b09bd44.Virut C005-0229 20090805/95f836bf6beb7fae6585b1f155f00c1445b43c2a.Virut 0.56936
20090806/007a9493994641d8addf0bb5e6164688dd8b10dc.Virut C005-0229 20090805/c2cb466db8767740c871a5d46362faa5a71bc5fc.Virut 0.52108
20090806/00b5083f03885a46d797fad5e1e97ba00c387684.Virut C005-1527 20090805/7fbea5c5e54df02f64739f69281b90c2e77fe30a.NothingFound 0.665746
20090806/0106f45b6760d485a0967f4369ec08910e6b5f33.Virut C005-0229 20090805/3e754eb12df09c8d6c560725a1becc9262808876.Texel 0.648225
20090806/010d41d1326cdaa844e123bfdae949cb706d5b00.Virut C005-0229 20090805/3e754eb12df09c8d6c560725a1becc9262808876.Texel 0.636417
20090806/011440a49cafb0b03e9372cf1a0537c25af9e5aa.Virut C005-0229 20090805/c2cb466db8767740c871a5d46362faa5a71bc5fc.Virut 0.585695
20090806/011763718bc034c25555bee6066f7a2e2dacb1a0.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.249353
20090806/012b4691dc0737f3dc0f4ed1b87cc929a2937dd9.VB C005-0229 20090805/bf6da9b62a2b99fd6683af97a247158e18dc66e2.Virut 0.474874
20090806/012d56b4e35e14fa7d02e98ddb814d2353d43d2e.Virut C005-0229 20090805/c2cb466db8767740c871a5d46362faa5a71bc5fc.Virut 0.624379
20090806/0131758fb400d762580700d9e6d11db97026d71d.Texel C003-1014 20090803/3f2de3205a1c13ca7a75438c0232382028d4298f.Texel 0.335964
20090806/013d963d48d5baeef0df399dc83af5a002f70230.Lipler C002-0233 20090802/4cf23978218f1a0417eb0579ca59cf9fe52d6729.Lipler 0.5482
20090806/0157005945dc2d1eb2436772196eebc10227dd5f.NothingFound C002-1200 20090802/976c0bdd830f81c6b2677c07673be1457e678ff1.Magania 0.65269
20090806/0165eb8d9d63496811c3aa0687b2dda953a6d0fc.Virut C005-0229 20090805/3325d56a2622c1225d31f89dd30597170112f9fa.Virut 0.604207
20090806/017313a430ce904a818dff3e9a9b74be3ce94663.Virut C005-0229 20090805/3325d56a2622c1225d31f89dd30597170112f9fa.Virut 0.604106
20090806/01799db021b2e8a4b4704737f9fcff925a6ca86c.Bifrose C002-1148 20090802/b63b8d305fb34472e471e5ca02eddedb4cb256f0.NothingFound 0.586171
20090806/0185842a23a3052bfa0563e3effc1b382ec90354.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.210123
20090806/019388a0aa9b5bc85e029b343456413ce461ce5c.Virut C005-0229 20090805/3e754eb12df09c8d6c560725a1becc9262808876.Texel 0.654643
20090806/01a839b26a4150190e0b4a1647d35fcb2da26a72.NothingFound C002-1163 20090802/90e66fd1351bbfec4f4fbd73d0c35bf772598d17.Chifrax 0.653805
20090806/01bfe09942e226b5779862ce12a13104a66ea53f.NothingFound C005-1457 20090805/a42435e252838b864f771f0fae6a456f2e991234.Agent 0.662521
