# MALHEUR (0.4.6) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009 Konrad Rieck (rieck@cs.tu-berlin.de)
# Berlin Institute of Technology (TU Berlin).
# ---
# Incremental analysis for 20090804_mist.tar.gz
# ---
# <report> <cluster> <prototype> <distance>
20090804/0015f7d017854900a1ce8a4d053ec0aae5969bd0.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.10564
20090804/001ffc75f24a0ae63a7033a01b8152ba371f6154.Texel C003-1183 20090803/1a921351c3954deee2f0379b4b121ba9cae26b58.Texel 0
20090804/00224bbf694e4dcd6854babf3c7b2f7e077cf9be.Pakes C002-1180 20090802/a7d7ae36a6aa9a4d010e24e92e0daf77d163ab48.Delf 0.679598
20090804/005b95d25208621171566f5803437b0c443778e1.NothingFound C002-0972 20090802/620f30e2fa8c572f512c1dc09563a594e0449949.NothingFound 0.556499
20090804/0071a3b818ed06d3865a24fdb31d147c67fabfc5.VB C002-1148 20090802/a6507471ad26057194a8c0a7b584ea450f937538.VB 0.612084
20090804/0088835488746a0c494c41fbe93940f72aad0f30.Agent C002-0972 20090802/620f30e2fa8c572f512c1dc09563a594e0449949.NothingFound 0.57735
20090804/008cc72e6d82f36c8d4a95b35e241b5e58411845.VB C002-1148 20090802/62dc052bc0b2c683fa1b0168000dbe37550a367c.NothingFound 0.604128
20090804/00f0a9398c1eb7e07cc769c055f9c9401d5fca6b.Texel C003-0723 20090803/01d6a584ee3134c6cf260b6640f071ed3bbadf01.Texel 0.632455
20090804/00fbb50ccfadd5b427aba20792bb95a4260db685.Tdss C003-0629 20090802/d6ac75c16854fc3e4adf1c788c0b25c01e5ecc84.TDSS 0.657451
20090804/01178cc12a1c4340c520ce669728d3538ab2f0f1.VB C002-1148 20090802/a6507471ad26057194a8c0a7b584ea450f937538.VB 0.612084
20090804/01237b13781d1af45f0f520971889728bc01b552.Texel C003-0001 20090803/3f0d7ac6d6b4a3eb55d5df99d94db7d1712c47c4.Patched 0.324443
20090804/012899178fa092ec6fba21c3f0f40d6dd50990a6.OnLineGames C002-1163 20090802/7dcca4e25ca0e00abe0a2ea46421596a838881ef.Swisyn 0.617067
20090804/01392e526a68f01285549e36e16333e95e51ce60.FraudPack C003-0870 20090802/aeee30f8779a0025bdf0875ec92782777ae818f0.FraudLoad 0.304059
20090804/01519280a0502e5f57dda74832e19bbff57e9acb.Texel C003-0740 20090803/6023682fc8c3061c184c69e722dbbd0e9f8a385a.Texel 0.48136
20090804/017ae961e5dbc1075c504b8aeaa370cb25b1db0f.Patched C003-1315 20090803/033dd051efe6de48029d44d9a5a68679543a403e.Texel 0.5
20090804/01dd2f4463b8f19dd446789bae89642e5ff0f5a0.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.0875528
20090804/022c4a532bd85062d52516667c519b59cb8f419a.NothingFound C002-1148 20090802/a6507471ad26057194a8c0a7b584ea450f937538.VB 0.612084
20090804/024b027b692a67138870bc598a28a51366d103ca.NothingFound C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.273517
20090804/027a83647972fb46e677df2ab0914ae568606c65.Texel C003-1511 20090803/896fdc890ecb7fa45c107a41eb45fd0cc39dce97.Texel 0.430151
20090804/028067779f69ae76b6150250ac6ea898425b63a8.Patched C003-1190 20090803/026340e18aafbfccd4a4678c5374544b090ca0eb.Texel 0.4
20090804/02b44485c617ebd658f7f7ca45885ed415f92c72.Texel C003-1302 20090803/2b6511025ffda854883833824e3639f6bb137942.Texel 0.608172
20090804/02baa651c70a572af6fe5d9e8fbdb0fe98d710e2.Buzus C002-1148 20090802/b63b8d305fb34472e471e5ca02eddedb4cb256f0.NothingFound 0.607226
20090804/02d57eefe3d00c56ed78bcdda9d92a784fe243dc.VB C002-1148 20090802/b63b8d305fb34472e471e5ca02eddedb4cb256f0.NothingFound 0.674075
20090804/02dda1807db934ea0d275526a22303a618530f4f.Texel C003-1340 20090803/3b4bd2dafeca0af50f119777b0f4a83883b15177.Texel 0.446546
20090804/031043eed05f84414345157c8d5c3bb152802159.VB C002-1148 20090802/a6507471ad26057194a8c0a7b584ea450f937538.VB 0.612084
20090804/0312f8d09c1a7d3c7adadf9c377ab1dcf74bc5f5.Poison C002-1148 20090802/62dc052bc0b2c683fa1b0168000dbe37550a367c.NothingFound 0.621067
20090804/03143e70cccf7bd30d38bf7fbc8e2dfff60be471.Texel C003-0578 20090803/cbda2eab3b5769f4caa16ea53f0e4b63694f2eda.Texel 0.370117
20090804/0322eae088b083dff941d8c0b866e328fb45629b.Texel C003-1285 20090803/f1a70e0dcb346a9dc265fcae16aec55ea0f17557.Texel 0.425681
20090804/0323b9908e8ecf822ecbb3f95054ef1072d86b04.Texel C003-1192 20090803/53886e4b72388f2a43b4c036e2fd8bb64d1b5127.Texel 0.591679
20090804/032ef1987f77687a3942322478e4c880f5b4067d.NothingFound C002-0972 20090802/620f30e2fa8c572f512c1dc09563a594e0449949.NothingFound 0.375048
20090804/0382d1ba58c15682014ee3b3dae5ac3697935084.Texel C003-1423 20090803/926c9077960aea66a60a858195531f91e005f8d4.Texel 0.519186
20090804/03835934aafbaf58f11f9b747a7e7f89da219205.NothingFound C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0946098
20090804/0391515faf1b54e8b2ca56ad364767fe12f133fe.Texel C003-1249 20090803/2716a278dd431bee59a3003a1900ed8a54b06f2b.Texel 0.000267942
20090804/03960f0bdedf6f822acf81a1fb7dad0f9d18ae5f.NothingFound C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.100038
20090804/03d49c8bf9ef75673285f94558d09ebb81b0a5fc.Texel C003-1309 20090803/0a7b25cd48796609275eae4d5334623b54afe06c.Texel 0.288675
20090804/0418d5b4d869ae76728017543a914bad79f6110a.Texel C003-1249 20090803/2cd10fb0a01e2832a5dc1838abbccb6cce5527fb.Patched 0
20090804/0428d24d5b6dfe0ca1b1f817673c3a446459c384.Texel C003-1437 20090803/031642621b3598ed18fd23a756289649da75e171.Texel 0.00012915
20090804/044db6b4af90ee2f9ee594b0456ca97eacf8dc8c.NothingFound C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0917906
20090804/04822d0f15c466a60775db047e158fef8eab8909.Texel C003-1423 20090803/fb70771f3facba205b5c12a6c2bfa158093ec89c.Texel 0.402393
20090804/048bdc8c8c5c0d162f4bf59393251a75ad82dacd.Buzus C002-1148 20090802/c708f2781943ba3ca7a57235177ec05fe2539dc9.Poison 0.602374
20090804/048df895fe428a2dbe751f86b72070de7a6a67b2.Patched C003-1370 20090803/9bb6ece01b619e40ca8fa5cf3fb4dc1176f94e65.Texel 0
20090804/0493e16de549fc55bc1b9dae50dfd29bc6c0f84f.Patched C003-0993 20090803/0ae8dcc931e6160ebaebad22d77a3ecb1d5d4657.Texel 0.447214
20090804/04af2f80412f7c5c4c5d76f4042f8658da28cd4b.VB C002-1148 20090802/a6507471ad26057194a8c0a7b584ea450f937538.VB 0.612084
20090804/04c7a88ad61d54f64ee97be6e220f0c36e759504.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.0879997
20090804/04dbc4bc496890c31c14db556d8680646400dcc0.Texel C003-1291 20090803/1436582c8d2f8a35267be1883e54a8c7eaff673d.Texel 0
20090804/04dc342fa486f2efd34d4a02ff515ee387ddfff7.Texel C003-1190 20090803/026340e18aafbfccd4a4678c5374544b090ca0eb.Texel 0.4
20090804/04e030d7bcff52a454b41f0e779a159e6b23042e.VB C002-0140 20090802/ecd1ddc26c3d99da91497d17017c192114f4169e.VB 0.30757
20090804/04f72225e18d019025c8240d8eae56d7620a3208.Poison C002-1148 20090802/b63b8d305fb34472e471e5ca02eddedb4cb256f0.NothingFound 0.618504
20090804/04fb651a045046dbe4f4316e90b91195e2003b2d.Texel C003-1370 20090803/12256741db827d07b3278f8f8d8480575ea21fca.Texel 0.447214
20090804/05156904bb94e2d3843631e4dd9d5b4be9c0a8a9.Texel C003-0352 20090803/1bb1196ed4d0a6ad69b86fe1a593b4efbd976eeb.Texel 0.254
20090804/052875f1ced29312d9ecfb44567731f420960c20.NothingFound C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.10263
20090804/0531c44810f728fc4ea67308d394bad95e7920e5.Poison C002-1148 20090802/bb4c934af4f49646758fd5e1e92831ace086c4a5.NothingFound 0.613727
20090804/05802f6a6e0c1f0e2faf9ba70e253b2c616985b3.VB C002-1148 20090802/a6507471ad26057194a8c0a7b584ea450f937538.VB 0.612084
20090804/059c8530891eea81954286f5cd23ae7cb32da7ae.Basun C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.100038
20090804/059d7ba69245f5e809c46f91914f36c77bbac417.Texel C003-1291 20090803/13e589e38478e5701ee940bcdb113e99f7672297.Texel 0
20090804/05e83d6acf321fb8041461a2c32f437785f66123.NothingFound C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0827024
20090804/06360796c3efda0e44862faf599e33590ad430e8.Texel C003-1423 20090803/050dcdfa16e4ce3881df79bf3b3cd6d02cb5bb75.Texel 0.456007
20090804/0644770e71d33515a4c1b65915f4610b5ca70a77.Texel C003-1370 20090803/7cbc99fa92c464eac9c760984a4709b122848861.Virut 0.586381
20090804/06870cbd24d3a1aa09e8c0eb6ae2cd819299d502.Basun C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0827024
20090804/06a0c29dd21f4bca07a86b188f7267d0978f887d.NothingFound C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0858158
20090804/06aca58b2489812897c3040cb2152462760b7a81.Texel C003-1045 20090803/0337a5b059fcd8d21afdcecd235750544962fbe5.Patched 0.301051
20090804/071811d40b68d2c150f0a0998c15a749f7d7f302.Patched C003-1110 20090803/05acc34b6e879a2c0667076bbfa4c7df3c7724b9.Texel 0.516398
20090804/073abb93dcd2b20f5f394ecedf6909b6fb274e03.NothingFound C003-0860 20090803/3cf072e7fe5ce1e5ea6e05b4dec06788403e2292.Texel 0.391458
20090804/074191767ffa412f1bc3220e51689d1bbf54c45d.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.106762
20090804/07545d9adf29ab04638c5d15c34c4e075ff3f9e5.VB C002-1148 20090802/a6507471ad26057194a8c0a7b584ea450f937538.VB 0.612084
