# MALHEUR (0.4.6) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009 Konrad Rieck (rieck@cs.tu-berlin.de)
# Berlin Institute of Technology (TU Berlin).
# ---
# Incremental analysis for 20090805_mist.tar.gz
# ---
# <report> <cluster> <prototype> <distance>
20090805/000d2eea77ee037b7ef99586eb2f1433991baca9.Patched C004-0268 20090804/e61769752cc38b23d01e275083a666b6e0a95899.Texel 0.368855
20090805/000d3f47444d82c5ba3123a0cfed4477e9875c09.Lipler C003-1151 20090803/96d5c4a942d1f99b1dfc5f93afe67cf802c539a2.Lipler 0.644362
20090805/00133968e11543d43e613b326c368fc3e6da3ff9.Lipler C003-0380 20090803/9fb15624924f0ce44198dfa185d98d6e777ad3a6.Lipler 0.415608
20090805/0014aca72eb88a7f20fce5a4e000c1f7fff4958a.Texel C002-1184 20090802/bd102685d642fccefeb6410affac434ff11e39d0.Virut 0.597338
20090805/0022833a738be9d470f2ae6f63bfdd0f1a4a9fb4.Texel C004-1247 20090804/b95af57f85295511d4069dfad116792353841ca2.Texel 0.271329
20090805/0023352937e034c3eb2f8ec08a9f72a011460a6e.Patched C003-1356 20090803/0061ab7e85c6e2a50d5d8d5f63178872dafc296c.Patched 0.635811
20090805/002bf92ce61f8af53369ca57a0c7b3d8298d33f9.Texel C003-1291 20090803/248679849a73a6ad23f9750e7942eb5e7ba4a421.Texel 0.534387
20090805/005a5c5b3155fd65206fd4fcc868e3167b037bed.Basun C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.100038
20090805/005afcb18a47b9602815c7b66f4bc54e5c4f1e1a.Texel C003-1356 20090803/faf762a3981ee58d44466c9fca16769e2f8ff591.Texel 0.453903
20090805/006245e65b9b1dc585bd483e9a9e6476f4792281.NothingFound C004-1384 20090804/7a1bc5f0b06d339979e0363fd307243d3c3f866d.Vapsup 0.636135
20090805/0098105b791e7bb8e564c4ca77117ef58aa25011.Texel C003-1389 20090803/4ccbea98f7645e87409cd080ebe9483f467ac09c.Texel 0.413137
20090805/00ad0567041e0149c1eb53e38ae2478830baa130.Texel C003-1504 20090803/1464172ffd8350cd52ea6703afcbc7897c66ee0b.Texel 0
20090805/00d5e200edc69c7edf1f771df4a489808501332d.Texel C003-0352 20090803/1bb1196ed4d0a6ad69b86fe1a593b4efbd976eeb.Texel 0.313217
20090805/00de733a21ba0848c0775f700457f92623c52f07.Texel C003-1242 20090803/b43e2f3fe37cfc80722391452bccefeca20ed048.Patched 0.38824
20090805/00e0630a1df7cc6df40edbe2e3e9c632f522f0b9.Basun C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0917906
20090805/00e5a372f0952826ae87df6849fafb6f1fb1d209.Texel C003-1291 20090803/13e589e38478e5701ee940bcdb113e99f7672297.Texel 0.265433
20090805/00e86cbadd90faad437b78ece4e092d21736ed6f.Texel C003-1295 20090803/0685065baedb03c73e200b023c5124c0855215c7.Texel 0.539361
20090805/010443c94c3837ec654587aa17f78f3b8bb375cf.Texel C003-1242 20090803/b43e2f3fe37cfc80722391452bccefeca20ed048.Patched 0.376051
20090805/0133607456ab31acdc72a5008cf3df274abbc4b5.Basun C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0827024
20090805/014044c733a6d440145355b532b919af3d1f6ba1.Texel C003-1239 20090803/61f4436465490360306872abc56cce5d3b1c335c.Texel 0.5
20090805/015e3ec215f8dfb0590587c618139219436c24c2.NothingFound C003-0380 20090802/53c2cdb7a9c314189ba24cd56ffa0d61fb57e08a.Lipler 0.540665
20090805/016d9d3b7076c3899251a23f7a4c35108b830320.Texel C003-1183 20090803/c25d996a7200fec7b341dffa15296c2b19091b19.Texel 0.000267942
20090805/016dff62ff6a1c5ea4afbec44da3534a9562b97e.Tdss C003-0629 20090802/d6ac75c16854fc3e4adf1c788c0b25c01e5ecc84.TDSS 0.589233
20090805/01824069a306ba110068a65938982b4dfeb53c34.NothingFound C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0917411
20090805/01b054fa802f48fea6026dbdcfdf2dfd94df0b83.NothingFound C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0888541
20090805/01cf4c9193509b90fa755a58f0b5e4faf5b86afa.Basun C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.100038
20090805/01d553ae20a82a92be93bbfe87548934da1348bb.NothingFound C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.269361
20090805/01e6892727a22b78896e5087a3fa22e97366f695.Texel C003-0993 20090803/03cdaf87ab3448f92182980cfb1108ac48ec6d57.Texel 0
20090805/01eb4fe02c19382523099e7827d279c705566d84.Texel C003-1045 20090803/0ac8b55e0f8e198f0b9f7a0a86ce5f142da4382c.Texel 0.123561
20090805/01f1c1bf423ceec30aa764c31e95e7c8bf44e8b2.Texel C003-0993 20090803/03cdaf87ab3448f92182980cfb1108ac48ec6d57.Texel 0.4
20090805/0200b6651d48a12bf76f0ccebe02342158d69ae7.Texel C003-1340 20090803/c0346d7d6672a6d0479d792bb423a33bac7fdd68.Texel 0.430159
20090805/0227411db6f9263009a48e79dcb6a35eda7054f8.Texel C003-1356 20090803/5464b32bd3f860c06cada97995fc4aee7993fd3e.Texel 0.509109
20090805/02393ab6762dcefdc0620b80367c9df781711598.Refroso C003-1187 20090803/0da01f2d4e58e0853cee08c14d59cc2607d6bb67.Kolab 0.333333
20090805/023fa6a31804d837e526d70e9d03a7e855b29345.Texel C002-1134 20090802/e0da74d0acbcfac89cb6b96324cbe44cb884466f.NothingFound 0.506908
20090805/02517580bbacfa2fbc747b9e4d63d7874414297b.Patched C004-1384 20090803/1b0594240ff6faec86040f5b0751e46ceeb477e4.Texel 0.306803
20090805/02730b8d323742a00191e029e35028e40dbfb358.NothingFound C002-1134 20090802/cac0349ed6d681dd522aa9cded0d82f6b5f30f84.Virut 0.42897
20090805/02762f064ff51d4739c2617323edf12d7db535da.Iroffer C002-0972 20090802/620f30e2fa8c572f512c1dc09563a594e0449949.NothingFound 0.57735
20090805/027ae3a5afb7bfc1ebd002bf0ca33c767c2cc93f.Texel C003-1107 20090803/ec370db86099591b135dfc07f295e3cbca3ad186.Patched 0.127346
20090805/0280750b240ed751be7e8c296e7284ed46d75d36.Basun C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0888372
20090805/0280aa40cf9ef2e828d1c6b6d1cb9a4570e966b3.Basun C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0946098
20090805/0280e1a5d33c201f2073d9a4eefcb9b1ad54c378.Texel C003-1090 20090803/ca1bf6387d26bc424a0c48fbb6e5a456279d323f.Texel 0
20090805/0289e8cf4da1b01b367a2e4adb08d647a8b85df9.Basun C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0827024
20090805/028e9aa67b3556eb08b5f3fe45cc56ecb0335dfa.Texel C003-0428 20090802/1e5497cb5f87252a1c7c68010baf457013afea94.Virut 0.380438
20090805/02ac161c8ad8785de458dfa5565187e243bf7de0.Basun C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.133735
20090805/02ac3e0ef0891ec78f8e3a552efbcae9b88f5122.Texel C003-1291 20090803/83f2a958dc2b50a2c5150cf3925cbd6d7a909c14.Texel 0
20090805/02bc41eee62b395c523ca636ceae8f667405e522.Texel C003-0352 20090803/4cf796a43eeb8ee21edca579b3e3aad45ecc0754.Texel 0
20090805/02ce0dbaecf9ed6e2d7ca45cfe357c8bcee1eb43.Texel C003-1437 20090803/9cff3eebca5364ebcdd4c10dc5ce52fd093ae3b6.Texel 0.0825488
20090805/02d914610c660166afa17d7f91f843ee575f5a77.Texel C003-0762 20090803/3d37c1e9c8e5305434836ec493efa30e89e9b8e8.Texel 0.35272
20090805/02ec1dfbf4ed94b1277d0bc479aaac96ea2fc3be.NothingFound C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.281186
20090805/02ee7f5218881ee4d012b7a8ae13362952ad7e9c.Basun C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.0858476
20090805/031002d40db6c8ddd9f5ffed44d5fdfe425236b8.NothingFound C002-1163 20090802/d307eaefa28933cfec5b8ec687b95cc803a130b3.Turkojan 0.331343
20090805/031dd85682d84b87e0f5191250fbc418769a7abc.NothingFound C004-0923 20090804/419cdbb627b4ae0682f821f9c4845a7fc8a97a60.NothingFound 0.629256
20090805/0352ad0d71b6c60c1d94adb39e3dfabb2c77787e.Texel C003-1407 20090803/498ec3b1ca6616c3cc01f0718308f74215d74995.Patched 0.000271531
20090805/03550c9bd9ae41bb423992fc6503e2b1a277997b.Texel C004-0268 20090804/e61769752cc38b23d01e275083a666b6e0a95899.Texel 0.541647
20090805/03746ba79891af253213366b252b917146f167ae.Agent C002-1200 20090802/976c0bdd830f81c6b2677c07673be1457e678ff1.Magania 0.450078
