#sha1,md5,size,av-label,analsyses-date#
62f6bd16d2010a6f966b590e151464d1cb3bfa1d,ebae9c0506282c804d9804f764d2b511,35249,NothingFound,2009-08-11
0e4e1c07a0ba06bf04e5565c1c9e5bc7de646844,76671cc0601c8a36dae749c3af6c2fbf,299008,NothingFound,2009-08-11
fca0a767bfe6b7fad6ff2b9d11a3a6ebf026ce88,cf031b9ae5fbeeed26ca8fe95b11dbb2,263168,Sality,2009-08-11
b18adbf1189f3f09684aca66b1594e2bfb7f8377,2205f6fb0c54629a2fc0a9b54849e3f7,261538,AutoIt,2009-08-11
ba97d9899ce9b2d1c039c3907d1822387748cf39,49b6bd4022080242515755acf2ba1014,69632,Basun,2009-08-11
9c4bb7da487f847fee513a433d7a3fecf94c7c79,cf0269a2f31c05340165241ae775fd11,181760,Virut,2009-08-11
913a4ce4b59d7b86877eb3ab550f2db9e189e02e,df1c7034b4eace8143e0ead8f399ba64,1042643,VB,2009-08-12
704aa6db4eb6332141254b2db5727ba4190d9630,dad0598341c74f4fe49cc4de844b620f,34248,NothingFound,2009-08-12
50d4cd347ceedce8247e018681b26a8524258ae9,dad6fa9d4b68e67d1dc314854b1bb055,15680,NothingFound,2009-08-12
02c6e4f6bada7f56394030e100085cc7f36c4741,262be840443e2dd094addfe474439dff,47026,VB,2009-08-12
cee46208cee52d623cb5710bb21cac8d240c99b7,3d38730e2e137b3e7c39a1ff3815c1c3,544768,Obfuscated,2009-08-12
8ce45782be3a06da624dc44af0a2426a386de207,66d8c431ba78adc49b8c1fe20c7e4d81,69632,Basun,2009-08-12
7cf71e5e5ccf6f060dab231ae141c0f6c92e9fa6,cc200e529323dd3f47ff0bf39954aa82,274432,Swizzor,2009-08-12
1736df2178e769acb6544249997bff6bf7bfc92b,10738ce3a6730d4697b79e81c6191535,338432,Buzus,2009-08-12
14c8d53c4677fa7406c52682b0a3b64b47fbd071,1d37a986f44e9ed2550da7930c475921,352256,Swizzor,2009-08-12
f650319cfb73344438029bfbd9368a30dcb69dc4,7168e66c5911ebda100d607afa2311ea,69632,Basun,2009-08-11
