#sha1,md5,size,av-label,analsyses-date#
66216ecb2040d0e10ee20eb008f55ecd86889ad8,eef9b55279e67591e75e60a747c4e918,918016,Swizzor,2009-08-13
74070efefc67c6aa85161139676a171cc6c032b6,708ca758731feffc7e640bb2084fa6c1,8192,Small,2009-08-14
cfa05c149445861eeaf4f9e6f29986401a22d9de,30241d4d1e534836081301b8a95f2df8,61440,NothingFound,2009-08-13
03f20bc560b0469e3899e86d6377fbe496a08209,607980a685a3540db2a0175b8fd2c5df,135680,FraudPack,2009-08-14
7b69c5e1af1fcbe58050608ae213600a9043a5ac,491dedd42768ed4aa65d40f968cb0625,72192,NothingFound,2009-08-15
bf573c1af0732ec37b9a75764810d4fed29386ec,599727b26e67699c141225d86b680ee1,458267,Udr,2009-08-13
87166d63c0d129784dc62ef9ab8311ec7d095192,0745c4ebf37c9c27af37db032930392f,38374,NothingFound,2009-08-13
6407c32bc302d2cc0c5fda59f2bd693c9eb8320d,094f5c3a873cc739f421e26b599cecc8,38505,NothingFound,2009-08-13
6b3d82ec79f76c789b49b7deb5e0b4ff76a1dbb9,b985baea0f2609bb8e76c5258208872f,51712,VBNA,2009-08-13
52cf47b26de9daa4d091ae1097bb2c6da09e8286,9886dd80a0bfa6902a80920c1cd41cf1,82439,Pakes,2009-08-13
047451ae7b58eaaffbb11ab8253dbb59ebfe4011,986d66b6c94e07a22c2567c05cb43e10,898445,NothingFound,2009-08-13
e3a8d13255ee69d8d497961dfef32ec37c25ca57,5e5c0898283fa64fb400c8038d74ec9b,516096,Swizzor,2009-08-13
499b828509e421a9c73f880efc908dafbed82829,4ad8c0adbe2ceee99d33c833a1b0c42f,26794,Magania,2009-08-13
33925b52f4695e5c208b27e3d17528142eb171e4,c5eaf2e99dd0bc7812a8729d951e440b,183296,NothingFound,2009-08-13
3ddd848d291ad8f079b9b10085a5937ea294b28e,ef1acdb9060477a88fee36fd8548ddc2,266271,Agent,2009-08-13
5e503f5e505be6751030af369f5637561fa336c8,e825f03ed871b2b81bc1d15b44399090,38468,NothingFound,2009-08-15
0369ef7c271371c59bc0d97459cde2f47ff5bf33,0049b21b3b30ac0f0f7f01783d363531,2505653,NothingFound,2009-08-13
b47d55002f34aabdbabd17c935b4caf5635ef1df,dc84f9b9c1618df56bd6d48cff3cf597,132096,Virut,2009-08-13
a1a8c10e3f2c1192cf91c2c57a9061f1ecfcda9c,bd34062f2d9fee65c494c91dd60346d0,96256,Allaple,2009-08-13
9d6ab217201669f46138ac9ab5cf69c8fa32e2d6,bf3c6eacf0d68dd324eda9af36915497,626284,Lipler,2009-08-15
7ad7ba19073314b4b3d98e6848af52d69a343df1,6cbfc8c5d71e024aa3a001948691901e,25600,KillAV,2009-08-15
df882bd763d3db4fad7173c4a8bd6e347ee8826e,d3b5b8c8705df5b471857b31cc21754e,130050,VB,2009-08-16
6d979696211f8773468e8aee19f2a363a0bbc849,28eb30d8854ddc9086855239b95e7e85,36312,NothingFound,2009-08-13
b89c244c441835ee0c8a0359a6de49a899323505,dc7c7a0c7a90d2e310c95eb5d8b67a74,621056,Virut,2009-08-16
1e84739e82fefeafcd875e8f51e96823dba7d4f5,d80a8661d4c6d6b1c96ecaa7e400ea1e,360448,Swizzor,2009-08-09
c0a37b2f3c2d51fe70796f8bc916cbec3128ad05,01500ed7eac30e6f910b466ffcc6d228,4937791,NothingFound,2009-08-13
8190d23bf28d8cbbb4829945fadf3866743d730d,5ef535acd6f1a4388b7670e6f6855668,24064,Tdss,2009-08-13
e65409cd814a015992a79b285f464b80119a94b2,eecbfba4c6fd92b09c1c189661b6ae81,4608,OneStep,2009-08-13
a4789415719900010d58eabed92143d4c792eb72,d3c8fe56540a439433fc5573a81abcc6,82439,Pakes,2009-08-13
648fac44e7c40df5d816faa6568b27f5f4fb71e0,3188c7d51e2c8e488ee0716bfd468275,9728,IMG-WMF,2009-08-14
0069ea50001a6c699d0222032d45b74b2e7e8be9,1025be1934a50c3355adb359507f2862,149270,NothingFound,2009-08-13
874f8b6c2fffa82c77f397f95c9321b8869c8925,3ff3641acc91730e566aef3914461023,843776,NothingFound,2009-08-13
6d57a6d7349f4f7ade9e1fa81e1a079a3aca3a09,bcbce469c5576e34655cda8082fd302c,1043456,NothingFound,2009-08-13
f8c501f8dc269e7f8edcf370e2d869730c6b5796,eec20ad2d3f6bfaaa4b2bc1cc72e70c9,1171718,NothingFound,2009-08-13
e2b562f101f2b436b1c6783f9e4d974e8995d585,eef5650e69fe5ebb7c3d329e84d6ddab,222568,VB,2009-08-13
f74efa7f3b2fb6d39702914108f8f5abc4c76534,95771e918de6ad076fe0cd4633fc3c0a,782336,Swizzor,2009-08-14
6140c6860be8110e2f360ecf1db92bce6219c05d,81bc22ca82223c21a75025ea8cc8687f,119165,VB,2009-08-15
59d9dc438c2efed51da7dd83290c8527613a9365,66088754843a73b6d956577045933c14,729088,Swizzor,2009-08-15
dafb636a6ddc27626ad1c43496baed17006363ec,1e8f1136dcb5189dd67da1e81971944d,16984,NothingFound,2009-08-16
49400b36a22e9dda80cdd9244f203bf2be02a134,cc808a9ea1141a51d0feda76e75a1b21,222208,Virut,2009-08-16
fc11dc89bf453ff9f1ed83c14d550981a37586d1,b948a42d01bf10130370931306bd72d0,78337,VB,2009-08-13
9e4ac1ddce7726aa27e2b8617d1ddc13f9bbb477,22ec057954a3d74a58ce509058398fbd,16384,NothingFound,2009-08-13
2c918232ffaef677434bfee8c3a08d7aca9aaddc,8c4c9ba799ed2ca79895f06ae4836930,9728,IMG-WMF,2009-08-13
5b6adffd90b44bbe15cf5c9b3d43feb660291251,ef22c2e5b7f3a1931a70a98eb7936073,322560,Klone,2009-08-13
af9541394d28d823370e0c50e4661df3c1cf119d,eefdb75f621b451fd6bd0a489062f521,61440,FraudLoad,2009-08-14
276d1afca07cb706965d4f2cbcb825a16391ce6c,86619e601777cafecdd31f679da11d22,69632,Basun,2009-08-14
202745ea4a5ae2f9c660ff9b8d614a2e89c8dca8,296a7f116f42e820f06725ceba6f2b28,69632,Basun,2009-08-13
18f09342bd7954170b9bf1d64183a64e69d8cffc,6c0f6aed53d24725382f112ca20521f2,383751,NothingFound,2009-08-14
e33336ca5cd50d965522e0abc2f99e1079af6a9c,1bfd20b4d4ea2e96a10bc449b6b14128,291722,NothingFound,2009-08-14
ad16a603121627ebb7d4f7abfb67077d91b917ec,118af101a6895e578306c95fcdf49aa3,51504,NothingFound,2009-08-14
4ed8b89d88ee82bf31648b8a2f19c546490a99b5,4617b6d4bd905d60ac66ef1d4bbb6614,16384,Koobface,2009-08-13
729b69cad0d6f9d109e1f82a716d71aa363cf546,d07547a31dc5e367567aca99ad5040b6,69632,Basun,2009-08-13
ec43bef6c401709ec7ca608a217c24255ff18ec0,f0a8db0b702a9c65a5e70c699feefa74,69632,Basun,2009-08-13
1992c75fa0e500d05968d121ab636b8c444ba727,fa4d0d5c9c7cc2f441f15eafefff5810,404480,Hupigon,2009-08-13
cdd6ae50ce1ce972bf2e35e5a365e907b9a530cc,dc7c9098932a7b3b19b36e943f3136c3,441856,Black,2009-08-13
