# MALHEUR (0.4.6) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009 Konrad Rieck (rieck@cs.tu-berlin.de)
# Berlin Institute of Technology (TU Berlin).
# ---
# Incremental analysis for 20090801_mist.tar.gz
# ---
# <report> <cluster> <prototype> <distance>
20090801/00278e420236020d6121dffe0cc20034422e7228.Lipler rejected 20090801/00278e420236020d6121dffe0cc20034422e7228.Lipler 0.000351007
20090801/0069ea50001a6c699d0222032d45b74b2e7e8be9.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.589747
20090801/006be5c265600c19728c9747fb4c7bc9e8d6f106.NothingFound rejected 20090801/006be5c265600c19728c9747fb4c7bc9e8d6f106.NothingFound 0.000261643
20090801/0089453df77890ae95ce7d9130a4ef85eaea36e8.Swizzor C001-0099 20090801/af2e5998dd937bbe103dfad3e7cd63e23142dec3.Swizzor 0.333813
20090801/009b59ea3f1f2023f41ce6c7e9c376e57008fc01.Zbot C001-0002 20090801/009b59ea3f1f2023f41ce6c7e9c376e57008fc01.Zbot 0.00021885
20090801/009e91f9f01186d90cac584d950d624670048d35.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.578135
20090801/00bc24afcfd1ddecdd7b3bf7eeff5563cb1f1a00.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.518902
20090801/00be48acc9d1774e4edf96f9582fac06b2ec1f14.NothingFound rejected 20090801/00be48acc9d1774e4edf96f9582fac06b2ec1f14.NothingFound 0.00012915
20090801/00bef0928a8a8e1001e99c032898652b6f0bc75c.NothingFound C001-0429 20090801/00bef0928a8a8e1001e99c032898652b6f0bc75c.NothingFound 0
20090801/00bfdb4a7b18d3bc0e28d2eb0cec76900b29b8b8.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.519532
20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/00e32a2d3e8407bf028c7b6e399fa98c96bbbfdd.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.519532
20090801/00f400749830eb8c878a14dd1b3a6d5454ba3a73.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.558858
20090801/00fa504f0bd45969fd29d4c740c801c027698415.NothingFound rejected 20090801/bcc12d34ef5dedc77509056d8d67914244d20416.Bifrose 0.615125
