# MALHEUR (0.4.6) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009 Konrad Rieck (rieck@cs.tu-berlin.de)
# Berlin Institute of Technology (TU Berlin).
# ---
# Incremental analysis for 20090807_mist.tar.gz
# ---
# <report> <cluster> <prototype> <distance>
20090807/00005ecc06ae3e489042e979717bb1455f17ac9d.NothingFound C002-1134 20090802/ecb8386a6ea9448d17f2c968a26181077cbc2455.NothingFound 0.660763
20090807/0008e3d188483aeae0de62d8d3a1479bd63ed8c9.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.44777
20090807/000d996fa8f3c83c1c5568687bb3883a543ec874.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.600915
20090807/0013cd0a8febd88bfc4333e20486bd1a9816fcbf.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.459166
20090807/0022d6ba67d556b931e3ab26abcd7490393703c4.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.441724
20090807/0028c307a125cf0fdc97d7a1ffce118c6e560a70.Swizzor C002-0803 20090802/4b3623532f0329ffad5207718fa2bc2891fc3b38.Swizzor 0.513998
20090807/00359d7ce3995828fb5b54bc0bb284a37d7ac878.Mutant C002-0972 20090802/620f30e2fa8c572f512c1dc09563a594e0449949.NothingFound 0.290374
20090807/0036a1957664c6116b15e6b97a1cd7cf439c99c1.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.44632
20090807/004c435e0f06b06036bdbad02305dd26b2d7ae2d.NothingFound C006-1759 20090806/2e23bd0cd064920d0720ef827f5c7f9993eac92a.Buzus 0.614456
20090807/0050ead3dc59a906285b131bb22bb8dd1a297d17.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.449515
20090807/0053b35319928c9daad8fe31e2cc9db67993689d.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.106013
20090807/006275bbf2f08bae468a5c3c7f93c4bf8e6e2184.NothingFound C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.448668
20090807/006d98ca615999f5e0cace504b3a3cbccfac826d.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.45552
20090807/007b2c551a05167575176f259b4c201085bbdfd1.NothingFound C005-1585 20090805/b4297eaafa2dc511faf7bce3298425d2b634c973.NothingFound 0.650615
20090807/007bb2a30be49283e1829f0b330ef1aa5c232408.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.455689
20090807/007c2885b6c3228711cc88aaf67fb3a6a15548ec.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.4403
20090807/008ba45d6d713c54435df27eeec88df9cf021472.NothingFound C002-1370 20090802/abde75d1ccc94f97201aa3e358287195dd77d05d.Krap 0.496142
20090807/00936981f5344ace4ca44ac1eda48ec394a7aa38.Downloader C005-1748 20090804/7af16aee9eeeaec6019049820e601b53af15e9b9.Banload 0.657504
20090807/0093a0275522ecbccf3963738e953a6f6d38454f.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.444979
20090807/00a905b2e7888ba2644b979ea35c8809043b9344.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.442167
20090807/00a9eef0f62e25f1dfc3f382a5c0b8fe276d6af6.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.422879
20090807/00be851dce61eed7b1bbffdece5af3649e498fd0.NothingFound C006-1586 20090806/e752c1a7f329d95392219821da9111bf5b8cb2f4.NothingFound 0.619246
20090807/00ea53e62134b654966b8ede27c3a6ce3314d4ca.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.459703
20090807/010240b7935a799db5a4e1ca434e4c01a4cc2e7e.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.447398
20090807/0111dffdb9cdaca904dbf2f60f02653201229d34.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.459642
20090807/0125f15fc9c0841bc4395d5b3940a67059ba8986.NothingFound C006-1614 20090806/25fa86037bc32e753ddd89762e1cfda0d41dc97f.NothingFound 0.655672
20090807/015aa2ae20ecc8aa7ec571cd0379ac724b593ae9.NothingFound C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.446557
20090807/015d6432e52768e84cbd0ce8f73909e2d25e5b28.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.426717
20090807/0168713329c0fe2d651ed92a69fc9eb9af23b0ee.Texel C004-0866 20090804/71124c7c4f388fa853de2b1c0ddd70d481d3314d.Patched 0.561432
20090807/016885b99d6401cc72d84b7d606537ec627dea87.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.443673
20090807/0168b826bfb1bcc674abeab9da26c37611f8c30a.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.455471
20090807/0173f8e5b68dfe40bd7c251665ec574e7b6bb29a.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.462457
20090807/01955602ca69e9215c85b68fd3f886255abf7d5d.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.447494
20090807/019efb5f56e3212279f940ef5372f1dea81b2fcd.NothingFound C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.422685
20090807/01a2bae52588071a7c7680ea831d92ce2dc731d9.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.445866
20090807/01adc0ca26e8ea965942faf7fa7cc7d615f0bce4.Texel C005-0229 20090805/95f836bf6beb7fae6585b1f155f00c1445b43c2a.Virut 0.503128
20090807/01b0aab840c29db4ebdb367b10d0d289551c9305.Obfuscated C002-0803 20090802/4b3623532f0329ffad5207718fa2bc2891fc3b38.Swizzor 0.582617
20090807/01ba2a58ef92aa6e5f6e5848a9475f1804db1459.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.445313
20090807/01bcb8491fbaae6f559bb13b5448ea3af81669f6.Virut C004-1059 20090802/9a0bc390b499d3994317aa31bd43c4e81647080f.Virut 0.35683
20090807/01be585c13101e502cb57087bdb990baf1f20fa4.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.443079
20090807/01c77d07ab5519fa37534d27c263c792331f1f2b.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.443306
20090807/01d17e06c49854ec63ba010665cf4bb60dd2a36a.NetMon C006-1625 20090806/074975c84d1eb5ef27616c5c5613232b997620c6.NetMon 0.224309
20090807/01d8edf13b8f722daa8c77ba20491ef7af9e66fa.PolyCrypt C004-1457 20090803/fd12ec3eca0e049e4a8c9f25990c1ddc95e238ca.Hupigon 0.550086
20090807/01f6b36fe31c7571280c3f1b2a89154d53bf060c.NothingFound C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.459153
20090807/01fa23bd50b8c79c9de9b7e4e1481d993a8f64f7.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.118117
20090807/0209283de7128de11e7005867480017d52ec7c3a.Virut C006-1482 20090806/ea33dc178aa59b38b16dc3a54399c4d126b925b4.Tdss 0.614612
20090807/0219562c690b5b8d9ffa3961c7e43450c755601c.Virut C006-1482 20090806/ea33dc178aa59b38b16dc3a54399c4d126b925b4.Tdss 0.612597
20090807/021ed4ecd2f31da271f27183ba8133ca77f536e0.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.447121
20090807/0249a55cbd7f1f9057ebcf24d8791934e97ecb90.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.455166
20090807/024ffedfff698754ae48b5f5782058ddfe3222d0.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.120085
20090807/0251d3269a5eb17a698d80f6ffa40fd4bca9d8cc.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.445176
20090807/02743902d46d6c121eead871e9d8f882ef90ea1c.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.453101
20090807/028f42f66703e9b95a1d2eeefc9e0dc4be8e7da5.NothingFound C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.387495
20090807/029170d05f92b11e3314f9723a13fcba20d62f3c.VB C004-1220 20090802/e18485c4a372c775f806a07767563ba9f5f65579.NothingFound 0.557198
20090807/02a4bf9f9c28f36515538e790b4c72e12cf65369.NothingFound C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.436944
20090807/02a50aca74e14f6c7d457bcffb20132159284c44.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.109829
20090807/02ac9d41ead8c9fce6461bfeb42b5231304df95c.Small C006-0550 20090805/5f15af00702c42d6948f394550c66b535138ecbf.Small 0.591742
20090807/02af52bb69131a8cfdbf11e2a5de48b12c89ee24.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.444946
20090807/02afd31bcba99a1d7a114e86172cdc273e259045.Parsi C002-1148 20090802/e4d39cd0a3991647679032603e46389985f03546.Poison 0.607755
20090807/02b6347856453943878462690e26553247b56159.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.440949
20090807/02ccb3514c2232244988245b915003abf3fd1ad4.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.443739
20090807/02ce07b2c652bd03c468ba8d3fc26897dd78cfbb.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.447148
20090807/02d57e6c212c8667e0e6e48b5f35d8030b4e7371.Swizzor C002-0081 20090802/37dd1b223d3751ac2de1df4e424535616501200b.Swizzor 0.385477
20090807/02d6b3c8865714218e73b34fd333909a159ece14.VB C004-1550 20090803/b68d3bec6e1c33bc733843db4465387a8a613448.VB 0.59711
20090807/02d71331154b725e2a38646abeb6c935432bd099.Texel C004-0855 20090804/4815bccc4dc271ec1e0d251460b6a3a801fa1e5a.Texel 0.35637
20090807/02e7052537f98e1cb2d3c6043460ad8444a44559.NothingFound C003-1110 20090803/05acc34b6e879a2c0667076bbfa4c7df3c7724b9.Texel 0.586381
20090807/02e9a0c4f76f4e9da1f19cd3f8f1c1e53186ea68.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.445072
20090807/02eed082b84a78f2f18f29045c4fd0f188b212f2.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.45803
20090807/03088db03b6bf44e8a9f80f94dcca81835bcf427.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.45992
20090807/030fdbf5a920e66d4df0363bb2daa2bcd6342ab5.VBimay C003-1461 20090803/4785b8e20cc05d4700c621bdebe71468bd456771.VBimay 0.365147
20090807/032436c5a3aee27c402b02df5a7d9042a9085246.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.44505
20090807/03275eff44eea8bc1c6d3ab9e1255286a0e31dd2.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.442589
20090807/032d5a355d448d1c83ef85e4d9031f3a7968e136.NothingFound C005-1585 20090805/b4297eaafa2dc511faf7bce3298425d2b634c973.NothingFound 0.610928
20090807/0337c41251032dfa27f9eb7a5a89ec8c42ff1d83.Swizzor C002-0751 20090802/e0cb25a88a5e0c748dfccfc8621cde8189e85d94.Swizzor 0.528317
20090807/034ddc9ed18bce51cd940d0ac5fa418b2521b8ff.Basun C002-1163 20090802/cce1d2b84198fb02a4193507d1a4006e71653f95.Basun 0.60257
20090807/0350f37013b27538487a178f29ecda3542ee3bc7.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.438452
20090807/0352b661d565815d94913fb305898bb5d7d5e236.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.446377
20090807/0355139663dbde9aadb54754412ed826eba9c805.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.444478
20090807/035b5a7331dc60e593a093fa92955a3fbbdca851.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.445728
20090807/035b6879a295f9e0142c52863de24d9a17cd76ac.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.459942
20090807/035c74a3e48429ec8dfc00ed01be4bde45b3d9b0.NothingFound C002-1163 20090802/8b2fe62bbe1541950f78b97e2db94506fed2510c.VB 0.577793
20090807/0362482f4ca96b9e9780d84a6507b0b617cb4612.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.519807
20090807/036ac8772ed3d05c0645c0a829f04e39c0f6a08d.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.105074
20090807/0386646966ff256d2d0782253f4f157dc0f97dbe.NothingFound C002-1134 20090802/ecb8386a6ea9448d17f2c968a26181077cbc2455.NothingFound 0.642526
20090807/038a2eb0aabc5b27a1380394d0d81bdc46d3d487.Basun C006-1838 20090806/10de62fae5ac9196eb4b5899afa2f2b497b0ebb0.NothingFound 0.44664
20090807/038b4288f2721065707c01997f9ae66e02149746.Obfuscated C002-0803 20090802/dda444304ceb1818ba0e5c3a5f1caa6e18f9498e.Swizzor 0.631357
20090807/038f55022977fef968e40253d1df70d1a8aec977.NothingFound C002-1148 20090802/4c2b99ca7115504a2fef11f5ca89b4becfdb682a.NothingFound 0.65678
20090807/039dd3f1bd9ecabe1a030a08b6cf74ea84e3550f.NothingFound C006-1791 20090806/247880ccd1d029f624a5f88cd009cf99972a0370.NothingFound 0.280107
